sample_id	cluster	phenotype
CGN22695	6	49.03
CGN22692	6	60.00
11	10	36.26
B28	10	34.53
67	10	32.21
363	10	33.18
323	10	35.33
164	10	34.46
S23	10	34.47
km6-e	6	43.72
W42	5	40.98
PI491140	4	46.47
X18	10	34.89
B13	10	34.81
W24	9	20.00
314	10	33.85
340	10	35.69
YL-24	6	43.87
B25	10	34.65
279	10	34.86
PI491132	4	42.75
318	10	34.11
ShenY3	4	46.10
73	10	34.90
L36	10	32.58
201	10	34.61
PI491142	4	46.10
CGN22753	11	42.00
195	10	35.75
308	10	35.78
CGN22050	7	47.21
W26	9	26.29
GY-7	6	44.03
S41	2	36.40
Davi-42	4	44.92
CGN5158	4	45.82
41	10	34.96
W2	10	31.85
TianXH012	3	38.76
chang36B	8	43.24
136	10	36.05
GY-27	3	40.81
R32	10	32.64
Wo403_add	1	44.50
Bao4	6	44.98
Davi-47	4	44.48
264	10	36.44
F12	1	39.54
R31	10	34.24
331	10	35.36
96	10	35.57
R3	10	34.17
S3	10	30.93
SiPin-5	4	44.19
Davi-54	4	43.29
208	10	33.98
GY-1	3	39.59
Davi-35	4	46.39
299	10	33.84
46	10	36.59
S39	10	30.59
224	10	34.63
chang31	4	45.07
209	10	36.01
WW_W28	4	43.92
GY-6	3	40.87
56	10	34.61
316	1	43.46
CGN19051	4	45.53
F39	12	37.33
334	10	33.22
CGN14314	3	37.87
Italy-san	10	33.76
48	10	35.88
F2	10	34.54
300	10	36.17
CGN14295	4	43.69
303	10	35.50
YL-13	6	45.94
Haer-15	4	44.20
