sampleID	cluster
CGN22695	18
CGN22692	27
11	0
B28	9
67	0
363	0
323	0
164	14
S23	6
km6-e	11
W42	21
PI491140	31
X18	1
B13	9
W24	10
314	0
340	0
YL-24	41
B25	4
279	14
PI491132	35
318	0
ShenY3	40
73	0
L36	7
201	0
PI491142	31
CGN22753	39
195	0
308	0
CGN22050	19
W26	28
GY-7	34
S41	12
Davi-42	37
CGN5158	25
41	0
W2	9
TianXH012	30
chang36B	23
136	14
GY-27	30
R32	5
Wo403_add	8
Bao4	36
Davi-47	32
264	0
F12	20
R31	13
331	2
96	0
R3	13
S3	9
SiPin-5	33
Davi-54	37
208	14
GY-1	30
Davi-35	32
299	0
46	0
S39	9
224	0
chang31	26
209	0
WW_W28	16
GY-6	17
56	0
316	8
CGN19051	22
F39	15
334	0
CGN14314	29
Italy-san	0
48	0
F2	3
300	0
CGN14295	24
303	2
YL-13	11
Haer-15	38
