CGN22695	49.03
CGN22692	60.00
11	36.26
B28	34.53
67	32.21
363	33.18
323	35.33
164	34.46
S23	34.47
km6-e	43.72
W42	40.98
PI491140	46.47
X18	34.89
B13	34.81
W24	20.00
314	33.85
340	35.69
YL-24	43.87
B25	34.65
279	34.86
PI491132	42.75
318	34.11
ShenY3	46.10
73	34.90
L36	32.58
201	34.61
PI491142	46.10
CGN22753	42.00
195	35.75
308	35.78
CGN22050	47.21
W26	26.29
GY-7	44.03
S41	36.40
Davi-42	44.92
CGN5158	45.82
41	34.96
W2	31.85
TianXH012	38.76
chang36B	43.24
136	36.05
GY-27	40.81
R32	32.64
Wo403_add	44.50
Bao4	44.98
Davi-47	44.48
264	36.44
F12	39.54
R31	34.24
331	35.36
96	35.57
R3	34.17
S3	30.93
SiPin-5	44.19
Davi-54	43.29
208	33.98
GY-1	39.59
Davi-35	46.39
299	33.84
46	36.59
S39	30.59
224	34.63
chang31	45.07
209	36.01
WW_W28	43.92
GY-6	40.87
56	34.61
316	43.46
CGN19051	45.53
F39	37.33
334	33.22
CGN14314	37.87
Italy-san	33.76
48	35.88
F2	34.54
300	36.17
CGN14295	43.69
303	35.50
YL-13	45.94
Haer-15	44.20
