sample_id	phenotype
X8	53.40
X5	27.67
S15	49.70
R9	54.35
R43	40.60
R40	39.56
R39	53.13
R34	47.76
R25	48.55
R18	53.39
R13	47.20
L9	55.83
L4	54.77
L36	56.36
L30	51.29
L29	51.65
L24	44.55
L23	51.50
L2	54.26
L19	27.20
L18	54.39
L15	51.92
L14	60.00
L13	38.43
C9	47.05
C5	54.14
C28	53.74
C20	47.21
C18	53.56
C12	55.31
B4	56.15
B34	52.33
B32	48.56
B29	47.01
B23	49.16
B18	52.28
B17	46.50
B11	51.68
L26	44.65
L11	52.98
B9	54.06
B8	55.48
B7	51.94
B6	53.29
B5	53.12
B37	34.45
B36	49.54
B35	53.28
B31	49.25
B30	53.04
B3	50.91
B28	53.89
B27	50.76
B26	47.76
B25	47.53
B24	51.98
B21	50.06
B20	55.18
B2	51.64
B15	48.12
B14	50.42
B13	52.44
B12	53.19
B10	44.41
B1	54.01
X18	20.00
L12	25.63
C8	53.97
C6	54.23
C4	47.95
C35	52.75
C34	41.83
C32	44.50
C31	53.69
C27	50.80
C25	49.27
C24	45.24
C23	53.18
C22	53.88
C21	52.48
C19	53.63
C14	48.34
C10	38.12
X15	35.90
X1	51.15
W8	48.97
W6	52.24
W35	52.96
W2	53.66
X7	36.67
X4	51.59
X2	43.38
S17	40.80
R31	50.47
R26	44.14
L5	50.77
L37	48.60
L34	51.45
L32	47.27
L31	51.58
