sample_id	cluster	phenotype
X8	H1	55.46
X5	H2	33.44
S15	H1	49.70
R9	H1	56.41
R43	H1	32.07
R40	H3	38.93
R39	H1	55.19
R34	H1	44.53
R25	H1	48.55
R18	H1	48.72
R13	H1	45.32
L9	H1	51.17
L4	H1	52.10
L36	H1	51.69
L30	H1	52.70
L29	H1	53.71
L24	H1	44.55
L23	H1	53.56
L2	H1	56.32
L19	H2	37.93
L18	H1	49.72
L15	H1	53.98
L14	H1	48.50
L13	H2	36.91
C9	H1	42.21
C5	H1	49.47
C28	H1	55.80
C20	H1	40.55
C18	H1	55.62
C12	H1	50.65
B4	H1	58.21
B34	H1	54.39
B32	H1	39.23
B29	H1	48.78
B23	H1	45.92
B18	H1	53.69
B17	H1	34.83
B11	H1	53.74
L26	H1	47.33
L11	H1	50.98
B9	H1	56.11
B8	H1	52.81
B7	H1	54.00
B6	H1	55.35
B5	H1	55.18
B37	H2	32.33
B36	H1	51.31
B35	H1	55.34
B31	H1	51.02
B30	H1	55.10
B3	H1	50.43
B28	H1	55.95
B27	H1	52.81
B26	H1	49.52
B25	H1	54.29
B24	H1	54.04
B21	H1	49.59
B20	H1	57.24
B2	H1	53.70
B15	H1	48.95
B14	H1	52.48
B13	H1	54.50
B12	H1	55.24
B10	H1	44.21
B1	H1	56.07
X18	H2	35.19
L12	H2	35.03
C8	H1	49.31
C6	H1	56.29
C4	H1	44.71
C35	H1	48.09
C34	H1	46.30
C32	H1	38.62
C31	H1	55.75
C27	H1	60.00
C25	H1	51.04
C24	H1	39.36
C23	H1	55.24
C22	H1	55.94
C21	H1	54.54
C19	H1	55.69
C14	H1	45.67
C10	H2	20.00
X15	H2	36.57
X1	H1	53.21
W8	H1	50.73
W6	H1	54.30
W35	H1	55.02
W2	H1	55.72
X7	H2	32.67
X4	H1	53.00
X2	H1	39.85
S17	H4	40.20
R31	H1	51.88
R26	H1	43.18
L5	H1	52.83
L37	H1	50.02
L34	H1	53.50
L32	H1	43.93
L31	H1	53.64
