sample_id	cluster	phenotype
X8	H40	53.40
X5	H7	27.67
S15	H24	49.70
R9	H40	54.35
R43	H21	40.60
R40	H23	39.56
R39	H40	53.13
R34	H26	47.76
R25	H24	48.55
R18	H29	53.39
R13	H32	47.20
L9	H29	55.83
L4	H9	54.77
L36	H29	56.36
L30	H22	51.29
L29	H40	51.65
L24	H14	44.55
L23	H40	51.50
L2	H40	54.26
L19	H1	27.20
L18	H29	54.39
L15	H40	51.92
L14	H2	60.00
L13	H13	38.43
C9	H4	47.05
C5	H29	54.14
C28	H40	53.74
C20	H5	47.21
C18	H40	53.56
C12	H29	55.31
B4	H40	56.15
B34	H40	52.33
B32	H28	48.56
B29	H37	47.01
B23	H38	49.16
B18	H22	52.28
B17	H20	46.50
B11	H40	51.68
L26	H17	44.65
L11	H6	52.98
B9	H40	54.06
B8	H9	55.48
B7	H40	51.94
B6	H40	53.29
B5	H40	53.12
B37	H10	34.45
B36	H37	49.54
B35	H40	53.28
B31	H37	49.25
B30	H40	53.04
B3	H36	50.91
B28	H40	53.89
B27	H40	50.76
B26	H37	47.76
B25	H33	47.53
B24	H40	51.98
B21	H27	50.06
B20	H40	55.18
B2	H40	51.64
B15	H12	48.12
B14	H40	50.42
B13	H40	52.44
B12	H40	53.19
B10	H16	44.41
B1	H40	54.01
X18	H0	20.00
L12	H3	25.63
C8	H29	53.97
C6	H40	54.23
C4	H38	47.95
C35	H29	52.75
C34	H25	41.83
C32	H34	44.50
C31	H40	53.69
C27	H39	50.80
C25	H37	49.27
C24	H34	45.24
C23	H40	53.18
C22	H40	53.88
C21	H40	52.48
C19	H40	53.63
C14	H18	48.34
C10	H15	38.12
X15	H11	35.90
X1	H40	51.15
W8	H37	48.97
W6	H40	52.24
W35	H40	52.96
W2	H40	53.66
X7	H8	36.67
X4	H22	51.59
X2	H35	43.38
S17	H31	40.80
R31	H22	50.47
R26	H30	44.14
L5	H40	50.77
L37	H22	48.60
L34	H40	51.45
L32	H19	47.27
L31	H40	51.58
