sampleID	cluster
X8	40
X5	7
S15	24
R9	40
R43	21
R40	23
R39	40
R34	26
R25	24
R18	29
R13	32
L9	29
L4	9
L36	29
L30	22
L29	40
L24	14
L23	40
L2	40
L19	1
L18	29
L15	40
L14	2
L13	13
C9	4
C5	29
C28	40
C20	5
C18	40
C12	29
B4	40
B34	40
B32	28
B29	37
B23	38
B18	22
B17	20
B11	40
L26	17
L11	6
B9	40
B8	9
B7	40
B6	40
B5	40
B37	10
B36	37
B35	40
B31	37
B30	40
B3	36
B28	40
B27	40
B26	37
B25	33
B24	40
B21	27
B20	40
B2	40
B15	12
B14	40
B13	40
B12	40
B10	16
B1	40
X18	0
L12	3
C8	29
C6	40
C4	38
C35	29
C34	25
C32	34
C31	40
C27	39
C25	37
C24	34
C23	40
C22	40
C21	40
C19	40
C14	18
C10	15
X15	11
X1	40
W8	37
W6	40
W35	40
W2	40
X7	8
X4	22
X2	35
S17	31
R31	22
R26	30
L5	40
L37	22
L34	40
L32	19
L31	40
