H1:	R40
H2:	S17
H3:	R18,L9,L36,L18,C5,C12,C8,C35
H4:	X8,R9,R39,L29,L23,L2,L15,C28,C18,B4,B34,B11,B9,B7,B6,B5,B35,B30,B28,B27,B24,B20,B2,B14,B13,B12,B1,C6,C31,C23,C22,C21,C19,X1,W6,W35,W2,L5,L34,L31
H5:	L30,B18,X4,R31,L37
H6:	L4,B8
H7:	C27
H8:	S15,R25
H9:	B3
H10:	B21
H11:	L14
H12:	L11
H13:	R34
H14:	B25
H15:	L26
H16:	R26
H17:	B29,B36,B31,B26,C25,W8
H18:	C14
H19:	C34
H20:	L32
H21:	L24
H22:	B15
H23:	B10
H24:	C20
H25:	B17
H26:	R43
H27:	X2
H28:	B23,C4
H29:	C32,C24
H30:	B32
H31:	R13
H32:	C9
H33:	B37
H34:	X7
H35:	L13
H36:	X15
H37:	C10
H38:	X5
H39:	L12
H40:	L19
H41:	X18
